PlaceId,GeoArea,MappedUser,assigned_wk,AssignedTeam
13466,Near West Side,WrightA,1,NWDC
18834,South Lawndale,CalderonD,1,Enlace Chicago
18800,South Lawndale,SanchezG,1,Enlace Chicago
12027,Grand Boulevard,OsowaT,1,CNH-Bronzeville
18794,South Lawndale,CalderonD,1,Enlace Chicago
18685,South Lawndale,CalderonD,1,Enlace Chicago
13051,Hyde Park,TripathiA,1,HPNC
13054,Hyde Park,CaraballoG,1,HPNC
18677,South Lawndale,CalderonD,1,Enlace Chicago
18660,South Lawndale,CalderonD,1,Enlace Chicago
24677,Avalon Park,LanierA,1,Claretian Associates
18643,South Lawndale,CalderonD,1,Enlace Chicago
18597,South Lawndale,CalderonD,1,Enlace Chicago
13057,Hyde Park,CaraballoG,1,HPNC
13056,Hyde Park,GhdeyY,1,HPNC
13053,Hyde Park,CaraballoG,1,HPNC
13052,Hyde Park,GhdeyY,1,HPNC
18507,South Lawndale,CalderonD,1,Enlace Chicago
12308,Near West Side,WrightA,1,NWDC
18527,South Lawndale,CalderonD,1,Enlace Chicago
18506,South Lawndale,SanchezG,1,Enlace Chicago
18500,South Lawndale,CalderonD,1,Enlace Chicago
18447,South Lawndale,CalderonD,1,Enlace Chicago
24868,Avalon Park,LanierA,1,Claretian Associates
18284,South Lawndale,SanchezG,1,Enlace Chicago
22109,Hyde Park,TripathiA,1,HPNC
18002,South Lawndale,SanchezG,1,Enlace Chicago
14321,Avalon Park,LanierA,1,Claretian Associates
18445,South Lawndale,CalderonD,1,Enlace Chicago
18708,Mckinley Park,SingletonO,1,Sinai
14784,Avalon Park,LanierA,1,Claretian Associates
12833,Hyde Park,CaraballoG,1,HPNC
18297,South Lawndale,SanchezG,1,Enlace Chicago
18290,South Lawndale,SanchezG,1,Enlace Chicago
19228,Mckinley Park,SingletonO,1,Sinai
18296,South Lawndale,SanchezG,1,Enlace Chicago
18282,South Lawndale,CalderonD,1,Enlace Chicago
19156,Mckinley Park,SingletonO,1,Sinai
22087,Hyde Park,CaraballoG,1,HPNC
14520,Avalon Park,LanierA,1,Claretian Associates
19092,Mckinley Park,SingletonO,1,Sinai
18977,Mckinley Park,SingletonO,1,Sinai
19076,Mckinley Park,SingletonO,1,Sinai
11847,Grand Boulevard,RollinsD,1,CNH-Bronzeville
20154,South Lawndale,CalderonD,1,Enlace Chicago
24959,Avalon Park,LanierA,1,Claretian Associates
25000,Avalon Park,WashingtonM,1,Claretian Associates
11102,Grand Boulevard,OsowaT,1,CNH-Bronzeville
21748,Hyde Park,GhdeyY,1,HPNC
20160,South Lawndale,SanchezG,1,Enlace Chicago
15573,Mckinley Park,SingletonO,1,Sinai
13419,Washington Heights,GrabowskiN,1,D2F
20159,South Lawndale,SanchezG,1,Enlace Chicago
21604,Hyde Park,GhdeyY,1,HPNC
