geoarea,weeks,wk_avg,day_avg
Archer Heights,3,163.3333333,32.66666667
Armour Square,1,17,3.4
Ashburn,3,40,8
Auburn Gresham,3,380.3333333,76.06666667
Austin,5,578.8,115.76
Avalon Park,3,114.6666667,22.93333333
Bedford Park,1,21,4.2
Belmont Cragin,,0,0
Beverly,3,304,60.8
Bridgeport,5,147,29.4
Brighton Park,2,427.5,85.5
Burnham,2,60.5,12.1
Burnside,5,17.8,3.56
Calumet Heights,5,101.8,20.36
Chatham,5,225.8,45.16
Chicago Lawn,5,209.4,41.88
Chicago Loop,0,0,0
Clearing,1,49,9.8
Douglas,3,145.3333333,29.06666667
East Garfield Park,5,172.4,34.48
East Side,4,94,18.8
Englewood,4,240.25,48.05
Fuller Park,3,38,7.6
Gage Park,4,158.25,31.65
Garfield Ridge,2,66,13.2
Grand Boulevard,2,254.5,50.9
Greater Grand Crossing,5,320.6,64.12
Hegewisch,3,74,14.8
Humboldt Park,1,1371,274.2
Hyde Park,7,151.4285714,30.28571429
Kenwood,3,108.3333333,21.66666667
Loop,0,0,0
Lower West Side,4,289.25,57.85
Mckinley Park,4,87.5,17.5
Montclare,,0,0
Morgan Park,5,186.6,37.32
Near North Side,,0,0
Near West Side,6,701,140.2
New City,5,188.8,37.76
North Lawndale,5,162,32.4
Norwood Park,0,0,0
Oakland,1,23,4.6
Portage Park,0,0,0
Pullman,4,55.75,11.15
Riverdale,1,46,9.2
Roseland,5,305.8,61.16
South Chicago,4,164.75,32.95
South Deering,5,90.6,18.12
South Lawndale,4,384.5,76.9
South Shore,5,281.6,56.32
Uptown,0,0,0
Washington Heights,5,167.2,33.44
Washington Park,4,58,11.6
West Elsdon,3,111.3333333,22.26666667
West Englewood,6,258.1666667,51.63333333
West Garfield Park,4,130.25,26.05
West Lawn,4,150.75,30.15
West Pullman,3,420,84
West Town,0,0,0
Woodlawn,5,136,27.2
