Geo-Area,Mapped 1,Mapped 2,Mapped 3,Mapped 4,Mapped 5
Archer Heights,0.565306122,0.424489796,0.010204082,0,0
Armour Square,0,0,0,0,0
Ashburn,0,0,0,0.675,0
Auburn Gresham,0.724286949,0.216076059,0.045808124,0,0
Austin,0.192480166,0.164539496,0.179717144,0.092100724,0.113487409
Avalon Park,0.539130435,0,0.005797101,0,0
Bedford Park,0,0,1,0,0
Belmont Cragin,0,0,0,0,0
Beverly,0,0.360745614,0.235745614,0,0.14254386
Bridgeport,0,0,0.140136054,0.337414966,0.065306122
Brighton Park,0,0.704093567,0.295906433,0,0
Burnham,0,0,0,0.173553719,0
Burnside,0,0,0.494382022,0.191011236,0
Calumet Heights,0.011741683,0,0.307240705,0.111545988,0
Chatham,0.016488046,0,0.044517725,0.552349547,0.194558945
Chicago Lawn,0,0,0.107414449,0.183460076,0.30513308
Chicago Loop,0,0,0,0,0
Clearing,0,0,0,0,0
Douglas,0.018058691,0,0,0,0.961625282
East Garfield Park,0,0,0.217844728,0.574739282,0.125144844
East Side,0,0,0.587765957,0.14893617,0
Englewood,0.005186722,0.004149378,0,0,0.769709544
Fuller Park,0.49122807,0.394736842,0,0.114035088,0
Gage Park,0,0.071090047,0.126382306,0.366508689,0.401263823
Garfield Ridge,0,0,0,0.106060606,0.893939394
Grand Boulevard,0.996070727,0.003929273,0,0,0
Greater Grand Crossing,0.016219588,0.346225827,0.35371179,0.218340611,0.063630692
Hegewisch,0,0,0.423423423,0.225225225,0
Humboldt Park,0,0,0,0,0
Hyde Park,0.351173709,0.2657277,0.105164319,0.063849765,0.092957746
Kenwood,0.755351682,0.012232416,0,0,0
Loop,0,0,0,0,0
Lower West Side,0,0.45164076,0.192573402,0,0.254749568
Mckinley Park,0.397142857,0.448571429,0.042857143,0.111428571,0
Montclare,0,0,0,0,0
Morgan Park,0.458823529,0.096256684,0.110160428,0.101604278,0
Near North Side,0,0,0,0,0
Near West Side,0.193300768,0.159571993,0.185624564,0.197487788,0.060711793
New City,0,0.001057082,0.413319239,0.242071882,0.245243129
North Lawndale,0.667883212,0.103406326,0.105839416,0.04136253,0.066909976
Norwood Park,0,0,0,0,0
Oakland,0,1,0,0,0
Portage Park,0,0,0,0,0
Pullman,0.293333333,0,0.386666667,0.004444444,0
Riverdale,1,0,0,0,0
Roseland,0.458577952,0.106979778,0.000652316,0,0.062622309
South Chicago,0.708270677,0.263157895,0.018045113,0,0
South Deering,0.041942605,0,0.002207506,0.428256071,0
South Lawndale,0.962938882,0.035760728,0,0,0.000650195
South Shore,0.369503546,0.362411348,0.180851064,0,0
Uptown,0,0,0,0,0
Washington Heights,0.33572282,0.365591398,0.195937873,0.043010753,0
Washington Park,0.861003861,0.003861004,0.003861004,0.027027027,0
West Elsdon,0,0.002994012,0.98502994,0.011976048,0
West Englewood,0.134925759,0.241446094,0.387346675,0.076823757,0.029696578
West Garfield Park,0,0,0.254302103,0.047801147,0.449330784
West Lawn,0,0,0.009868421,0.669407895,0
West Pullman,0.148351648,0.399529042,0.441130298,0,0
West Town,,,,,
Woodlawn,0.150506512,0.742402315,0.06512301,0.005788712,0
TOTAL,0.236063179,0.175781545,0.166738041,0.122830441,0.104138852
