Team Name,Num Members,Total Target,Assigned 1,Assigned 2,Assigned 3,Assigned 4,Assigned 5,Avg 1,Avg 2,Avg 3,Avg 4,Avg 5
BUILD Chicago,3,2562,978,973,772,532,542,854,326,257.3333333,177.3333333,180.6666667
Claretian Associates,4,3976,1530,1067,445,668,150,994,382.5,111.25,167,37.5
CNH-Altgeld,4,3407,1102,1209,576,1120,298,851.75,275.5,144,280,74.5
CNH-Bronzeville,3,3276,970,1518,1495,873,603,1092,323.3333333,498.3333333,291,201
Dem2Fem,4,4780,1171,1179,1204,754,769,1195,292.75,301,188.5,192.25
Enlace Chicago,3,4440,1750,945,1162,582,605,1480,583.3333333,387.3333333,194,201.6666667
GAGDC,4,4209,1446,1424,1000,1113,777,1052.25,361.5,250,278.25,194.25
HPNC,3,3410,1054,1412,1151,485,510,1136.666667,351.3333333,383.6666667,161.6666667,170
NWDC,3,4139,987,1591,777,587,428,1379.666667,329,259,195.6666667,142.6666667
Sinai,3,3177,727,1152,631,1271,809,1059,242.3333333,210.3333333,423.6666667,269.6666667
