geoarea,workers_weeks,area,num_places,walkscore,transitscore,bikescore,housing_units,housing_density
Archer Heights,7,7.080978477,449,75,57,61,27280,3852.574907
Armour Square,1,4.743346669,0,88,75,84,49682,10474.03942
Ashburn,8,17.07741492,80,59,56,51,44069,2580.542793
Auburn Gresham,9,12.20790849,1074,77,65,60,30186,2472.659425
Avalon Park,8,5.980902279,175,77,64,56,65957,11027.93474
Bedford Park,1,37.03193503,21,9,0,0,258,6.966959729
Belmont Cragin,1,11.36331381,0,82,61,60,100098,8808.874041
Beverly,9,7.366632238,636,65,50,68,60531,8216.916231
Bridgeport,12,7.479286608,382,82,60,82,78728,10526.1376
Brighton Park,5,8.711055228,811,71,60,65,27280,3131.652743
Burnham,2,0.067004229,21,0,0,0,1512,22565.73972
Burnside,5,2.426042181,52,63,66,49,32241,13289.54634
Calumet Heights,10,6.701915233,201,64,57,54,0,0
Chatham,9,11.74122045,912,81,67,58,62427,5316.908941
Chicago Lawn,15,9.440461784,618,75,58,60,49712,5265.844101
Clearing,1,8.657381387,0,63,42,60,55885,6455.185177
Douglas,8,5.535262551,420,0,0,0,41515,7500.095907
East Garfield Park,14,5.703822232,717,75,72,74,31382,5501.924626
East Side,8,10.09460877,265,60,37,59,33716,3340.000666
Englewood,13,9.455378646,738,69,65,64,16686,1764.709868
Fuller Park,5,2.105041814,107,62,56,75,24345,11565.09094
Gage Park,10,6.049300223,595,73,60,63,101337,16751.85497
Garfield Ridge,5,22.11489075,116,55,43,56,48351,2186.354911
Grand Boulevard,5,4.668435765,471,81,69,77,63982,13705.23302
Greater Grand Crossing,14,14.32553403,1532,64,61,63,103651,7235.402168
Hegewisch,4,28.08034205,144,51,33,65,38972,1387.874832
Humboldt Park,1,11.96988858,0,83,66,82,120034,10027.99643
Hyde Park,15,4.837785108,706,85,67,95,47997,9921.275735
Kenwood,8,3.564783995,243,78,66,91,39637,11119.04678
Lower West Side,9,12.28910586,904,63,71,66,54383,4425.301613
McKinley Park,11,4.650552613,313,76,63,66,53391,11480.57112
Montclare,1,3.305864086,0,74,58,63,0,0
Morgan Park,11,11.75289806,578,63,50,71,30345,2581.916379
Near North Side,1,14.20917641,0,96,90,81,76729,5399.961107
New City,16,13.28259048,833,0,0,0,24345,1832.850304
North Lawndale,12,12.2126102,719,77,77,63,75934,6217.671634
Norwood Park,1,18.7525328,0,60,51,63,36905,1968.000824
Oakland,1,2.747369753,22,52,69,49,16178,5888.541207
Portage Park,1,12.50291801,0,74,59,64,77169,6172.079185
Pullman,19,9.158380186,148,50,59,51,28642,3127.408932
Riverdale,2,16.12263302,28,35,33,40,41616,2581.216104
Roseland,19,19.9163386,926,69,60,63,91069,4572.57741
South Chicago,11,18.29071427,587,69,61,61,33716,1843.339714
South Deering,14,35.70150385,211,51,50,49,38972,1091.606678
South Lawndale,10,12.22318743,1409,89,64,61,87391,7149.608109
South Shore,18,11.31276152,1253,76,66,70,82947,7332.161985
Uptown,1,9.388260191,0,91,79,82,66755,7110.476131
Washington Heights,12,10.69013039,759,65,58,65,78515,7344.625105
Washington Park,11,4.676231127,215,70,74,67,64683,13832.2932
West Elsdon,8,4.619022111,325,68,62,60,62094,13443.10517
West Englewood,20,0.067114153,1262,67,62,63,14898,221980.0047
West Garfield Park,8,0.067006774,320,76,70,69,15823,236140.3031
West Lawn,11,0.067119677,395,69,57,58,48697,725524.9465
West Pullman,9,12.79163059,1214,54,54,56,28642,2239.120322
West Town,1,17.31184553,0,91,74,89,79016,4564.273627
Woodlawn,13,9.335892776,604,69,72,72,50706,5431.296311
