geoarea,workers_weeks,area,num_places,walkscore,transitscore,bikescore
Archer Heights,9,2.740078101,449,74,50,55
Armour Square,0,1.835500613,0,80,69,84
Ashburn,10,6.608331151,80,48,55,46
Auburn Gresham,12,4.724011353,1074,77,60,65
Austin,10,6.608391947,1790,79,65,63
Avalon Park,10,2.314389093,175,79,64,57
Bedford Park,4,14.32999613,21,9,0,0
Belmont Cragin,0,4.397184289,0,82,60,61
Beverly,12,2.850615594,636,71,53,72
Bridgeport,10,2.89420869,382,90,57,90
Brighton Park,9,3.370857819,811,81,57,68
Burnham,4,0.025928171,21,97,100,86
Burnside,4,0.938789049,52,47,63,36
Calumet Heights,8,2.593394574,201,49,57,53
Chatham,7,4.543420255,912,73,65,60
Chicago Lawn,12,3.653111315,618,72,59,61
Clearing,0,3.350088017,0,76,36,66
Douglas,11,2.141942917,420,81,76,76
East Garfield Park,12,2.207169311,717,78,77,80
East Side,8,3.906242125,265,75,40,70
Englewood,13,3.658883591,738,74,74,65
Fuller Park,6,0.814573719,107,62,75,56
Gage Park,10,2.340856581,595,74,60,68
Garfield Ridge,10,8.557648923,116,74,44,68
Grand Boulevard,9,1.806512849,471,81,77,69
Greater Grand Crossing,11,5.543454512,1532,64,63,61
Hegewisch,6,10.86605906,144,75,34,75
Humboldt Park,0,4.631906406,0,74,67,87
Hyde Park,9,1.872044813,706,89,66,97
Kenwood,10,1.379440227,243,70,62,86
Lower West Side,9,4.755431748,904,68,66,71
McKinley Park,11,1.799592727,313,78,65,66
Montclare,0,1.27924775,0,76,60,68
Morgan Park,9,4.54793906,578,67,50,77
Near North Side,0,5.498428395,0,98,91,81
Near West Side,12,6.466466754,2733,87,79,91
New City,13,0.025917993,833,0,0,0
North Lawndale,9,4.72583074,719,77,63,77
Norwood Park,0,7.256540125,0,70,63,62
Oakland,4,1.063130995,22,52,49,69
Portage Park,0,4.83816918,0,74,57,60
Pullman,19,3.543956117,148,64,59,51
Riverdale,8,6.238865691,28,35,40,33
Roseland,15,7.706890147,926,59,71,49
South Chicago,11,7.077833349,587,77,62,54
South Deering,11,13.81516822,211,0,28,29
South Lawndale,10,4.729923741,1409,89,61,64
South Shore,14,4.377622417,1253,76,70,74
Uptown,0,3.632911219,0,93,79,85
Washington Heights,10,4.136687078,759,61,63,67
Washington Park,11,1.809529368,215,71,78,79
West Elsdon,10,1.787391583,325,82,58,63
West Englewood,14,0.025970708,1262,78,77,60
West Garfield Park,8,0.025929156,320,89,73,75
West Lawn,11,0.025972845,395,81,50,63
West Pullman,12,4.949890323,1214,42,57,57
West Town,0,6.699047169,0,94,73,87
Woodlawn,10,3.612646957,604,61,75,75
